43499,75.6,62.18,53.52,1.91,579.85,567.17,580.6
43506,77.37,63.67,53.88,1.95,594.45,580.6,609.1
43513,81.32,66.84,56.81,2.02,617.55,609.1,609.8
43520,81.58,65.49,56.19,2,617.2,609.8,606.9
43527,81.09,65.91,56.42,2.01,618.9,606.9,606.7
43534,81.3,67.04,57.81,1.98,610.15,606.7,604.8
43541,81.1,67.71,59.39,1.98,608.05,604.8,596
43548,80.28,67.84,59.52,1.98,605.8,596,602.3
43555,81.05,69.49,62.36,2.01,613.05,602.3,619.7
43562,83.45,71.16,64.09,2.07,627,619.7,619.25
43569,83.68,71.62,63.8,2.07,633.94,619.25,629.5
43576,85.22,73.92,65.28,2.09,642.15,629.5,613.44
43583,83.21,71.72,62.95,2.08,638.8,613.44,609.2
43590,82.94,70.5,61.83,2.05,635.6,609.2,621.4
43597,84.49,71.61,62.09,2.08,649.65,621.4,613
43604,82.92,70.32,60.81,2.03,628.25,613,597.6
43611,80.25,68.21,57.01,1.93,604.25,597.6,551.5
43618,73.23,61.77,53,1.8,552.9,551.5,549.8
43625,73.54,61.57,52.49,1.81,559.95,549.8,559.1
43632,75.08,62.91,54.73,1.85,569.45,559.1,589.8
43639,78.27,65.9,58.6,1.94,591.4,589.8,588.65
43646,77.43,63.76,57.55,1.91,578.65,588.65,604.6
43653,79.17,65.7,59.27,1.95,589.9,604.6,600.2
43660,78.97,63.78,56.98,1.9,585.7,600.2,603.9
43667,78.99,63.42,56.22,1.91,586.9,603.9,605.3
43674,79.2,63.2,56.62,1.91,589,605.3,567.31
43681,74.39,58.18,53.29,1.8,551.2,567.31,571.63
43688,75.6,59.24,55.32,1.83,562.4,571.63,570.95
43695,75.26,59.87,55.55,1.84,563.5,570.95,571.85
43702,74.9,60.04,55.23,1.83,562.75,571.85,570.15
43709,74.58,60.02,55.76,1.87,568.45,570.15,588.4
43716,76.91,61.28,56.19,1.91,589.8,588.4,620.6
43723,81.25,65.17,59.31,2.01,620.25,620.6,603.9
43730,79.42,62.98,56.95,1.96,602,603.9,588.45
43737,77.05,58.69,53.12,1.89,578.8,588.45,586.1
43744,77.15,58.9,53.24,1.92,589.15,586.1,591.4
43751,77.15,59.37,53.49,1.93,584.75,591.4,594.45
43758,77.32,60.7,55.27,1.96,592.5,594.45,586
43765,76.72,61.14,55.36,1.93,582,586,586.2
43772,76.88,62.33,56.9,1.93,586,586.2,571.95
43779,75.58,62.44,57.05,1.92,582.05,571.95,566.2
43786,75.03,62.62,57.14,1.91,574.75,566.2,580.95
43793,76.7,63.66,57.43,1.93,583.6,580.95,576.5
43800,76.29,62.5,57.62,1.91,578.95,576.5,587.45
43807,77.4,64.35,59.25,1.96,585.95,587.45,630.3
43814,80.64,66.06,60.75,2.02,611.6,630.3,669.25
43821,81.59,67.42,61.26,2.04,619.19,669.25,705.75
43828,82.61,67.32,61.74,2.04,619.5,705.75,722.3
43835,81.6,66.59,60.84,1.98,605.9,722.3,672
43842,76.51,64.43,58.24,1.88,575.4,672,638
43849,75.05,63.15,56.22,1.79,555.9,638,576.25
43856,68.88,59.02,52.73,1.67,513.95,576.25,538.8
43863,67.1,54.62,50.35,1.62,498.9,538.8,517
43870,67.09,55.35,50.83,1.66,501.6,517,508.8
43877,67.61,58.47,53.13,1.69,511.75,508.8,460.2
43884,62.06,53.48,48.38,1.53,465.25,460.2,441.6
43891,59.88,50.03,45.58,1.49,449.25,441.6,347.6
43898,46.79,34.89,32.34,1.19,363.35,347.6,298.2
43905,39.89,27.82,24.73,1.02,293.25,298.2,286.2
43912,38.42,26.57,23.19,1.06,299.85,286.2,268.2
43919,36.28,26.86,22.91,1.01,284.55,268.2,277.5
43926,36.67,32.31,24.39,1.01,298.06,277.5,255.85
43933,32.96,28.99,20.11,0.95,277.05,255.85,220.2
43940,27.24,21.61,3.92,0.75,224.5,220.2,212.75
43947,26.56,22.94,15.76,0.69,209.5,212.75,244
43954,31.73,29.66,23.45,0.85,232.1,244,244.8
43961,33.34,30.49,26.44,0.87,250.05,244.8,286
43968,39.15,35.28,33,0.99,295.35,286,291.75
